,NameEng,NameVn,Nutritions,Water,Energy,Prottein,Fat,Carb,Fiber,Sugars,Calcium,Iron_Fe,Magne_Mg,Potassium_K,Sodium_Na,Zinc_Z,Vitamin_C,Vitamin_B6,Vitamin_B12,Vitamin_A,Vitamin_E,Vitamin_D23,Vitamin_D,Cholesterol,Caffein
28,pumpkin,Bí đỏ,"{""Water"": ""91.6 g"", ""Energy"": ""26.0 kcal"", ""Protein"": ""1.0 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""6.5 g"", ""Fiber, total dietary"": ""0.5 g"", ""Sugars, total"": ""2.76 g"", ""Calcium, Ca"": ""21.0 mg"", ""Iron, Fe"": ""0.8 mg"", ""Magnesium, Mg"": ""12.0 mg"", ""Phosphorus, P"": ""44.0 mg"", ""Potassium, K"": ""340.0 mg"", ""Sodium, Na"": ""1.0 mg"", ""Zinc, Zn"": ""0.32 mg"", ""Vitamin C, total ascorbic acid"": ""9.0 mg"", ""Thiamin"": ""0.05 mg"", ""Riboflavin"": ""0.11 mg"", ""Niacin"": ""0.6 mg"", ""Vitamin B-6"": ""0.061 mg"", ""Folate, DFE"": ""16.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""426.0 µg"", ""Vitamin A, IU"": ""8513.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""1.06 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""1.1 µg"", ""Fatty acids, total saturated"": ""0.052 g"", ""Fatty acids, total monounsaturated"": ""0.013 g"", ""Fatty acids, total polyunsaturated"": ""0.005 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",91.6 g,26.0 kcal,1.0 g,0.1 g,6.5 g,0.5 g,2.76 g,21.0 mg,0.8 mg,12.0 mg,340.0 mg,1.0 mg,0.32 mg,9.0 mg,0.061 mg,0.0 µg,426.0 µg,1.06 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
29,watercress,Cải xoong,"{""Water"": ""95.11 g"", ""Energy"": ""11.0 kcal"", ""Protein"": ""2.3 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""1.29 g"", ""Fiber, total dietary"": ""0.5 g"", ""Sugars, total"": ""0.2 g"", ""Calcium, Ca"": ""120.0 mg"", ""Iron, Fe"": ""0.2 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""60.0 mg"", ""Potassium, K"": ""330.0 mg"", ""Sodium, Na"": ""41.0 mg"", ""Zinc, Zn"": ""0.11 mg"", ""Vitamin C, total ascorbic acid"": ""43.0 mg"", ""Thiamin"": ""0.09 mg"", ""Riboflavin"": ""0.12 mg"", ""Niacin"": ""0.2 mg"", ""Vitamin B-6"": ""0.129 mg"", ""Folate, DFE"": ""9.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""160.0 µg"", ""Vitamin A, IU"": ""3191.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""1.0 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""250.0 µg"", ""Fatty acids, total saturated"": ""0.027 g"", ""Fatty acids, total monounsaturated"": ""0.008 g"", ""Fatty acids, total polyunsaturated"": ""0.035 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",95.11 g,11.0 kcal,2.3 g,0.1 g,1.29 g,0.5 g,0.2 g,120.0 mg,0.2 mg,21.0 mg,330.0 mg,41.0 mg,0.11 mg,43.0 mg,0.129 mg,0.0 µg,160.0 µg,1.0 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
30,yam,Khoai mỡ,"{""Water"": ""69.6 g"", ""Energy"": ""118.0 kcal"", ""Protein"": ""1.53 g"", ""Total lipid (fat)"": ""0.17 g"", ""Carbohydrate, by difference"": ""27.88 g"", ""Fiber, total dietary"": ""4.1 g"", ""Sugars, total"": ""0.5 g"", ""Calcium, Ca"": ""17.0 mg"", ""Iron, Fe"": ""0.54 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""55.0 mg"", ""Potassium, K"": ""816.0 mg"", ""Sodium, Na"": ""9.0 mg"", ""Zinc, Zn"": ""0.24 mg"", ""Vitamin C, total ascorbic acid"": ""17.1 mg"", ""Thiamin"": ""0.112 mg"", ""Riboflavin"": ""0.032 mg"", ""Niacin"": ""0.552 mg"", ""Vitamin B-6"": ""0.293 mg"", ""Folate, DFE"": ""23.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""7.0 µg"", ""Vitamin A, IU"": ""138.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.35 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""2.3 µg"", ""Fatty acids, total saturated"": ""0.037 g"", ""Fatty acids, total monounsaturated"": ""0.006 g"", ""Fatty acids, total polyunsaturated"": ""0.076 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",69.6 g,118.0 kcal,1.53 g,0.17 g,27.88 g,4.1 g,0.5 g,17.0 mg,0.54 mg,21.0 mg,816.0 mg,9.0 mg,0.24 mg,17.1 mg,0.293 mg,0.0 µg,7.0 µg,0.35 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
31,sweet potato,Khoai lang,"{""Water"": ""77.28 g"", ""Energy"": ""86.0 kcal"", ""Protein"": ""1.57 g"", ""Total lipid (fat)"": ""0.05 g"", ""Carbohydrate, by difference"": ""20.12 g"", ""Fiber, total dietary"": ""3.0 g"", ""Sugars, total"": ""4.18 g"", ""Calcium, Ca"": ""30.0 mg"", ""Iron, Fe"": ""0.61 mg"", ""Magnesium, Mg"": ""25.0 mg"", ""Phosphorus, P"": ""47.0 mg"", ""Potassium, K"": ""337.0 mg"", ""Sodium, Na"": ""55.0 mg"", ""Zinc, Zn"": ""0.3 mg"", ""Vitamin C, total ascorbic acid"": ""2.4 mg"", ""Thiamin"": ""0.078 mg"", ""Riboflavin"": ""0.061 mg"", ""Niacin"": ""0.557 mg"", ""Vitamin B-6"": ""0.209 mg"", ""Folate, DFE"": ""11.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""709.0 µg"", ""Vitamin A, IU"": ""14187.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.26 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""1.8 µg"", ""Fatty acids, total saturated"": ""0.018 g"", ""Fatty acids, total monounsaturated"": ""0.001 g"", ""Fatty acids, total polyunsaturated"": ""0.014 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",77.28 g,86.0 kcal,1.57 g,0.05 g,20.12 g,3.0 g,4.18 g,30.0 mg,0.61 mg,25.0 mg,337.0 mg,55.0 mg,0.3 mg,2.4 mg,0.209 mg,0.0 µg,709.0 µg,0.26 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
32,cassava root,Khoai mì,"{""Water"": ""59.68 g"", ""Energy"": ""160.0 kcal"", ""Protein"": ""1.36 g"", ""Total lipid (fat)"": ""0.28 g"", ""Carbohydrate, by difference"": ""38.06 g"", ""Fiber, total dietary"": ""1.8 g"", ""Sugars, total"": ""1.7 g"", ""Calcium, Ca"": ""16.0 mg"", ""Iron, Fe"": ""0.27 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""27.0 mg"", ""Potassium, K"": ""271.0 mg"", ""Sodium, Na"": ""14.0 mg"", ""Zinc, Zn"": ""0.34 mg"", ""Vitamin C, total ascorbic acid"": ""20.6 mg"", ""Thiamin"": ""0.087 mg"", ""Riboflavin"": ""0.048 mg"", ""Niacin"": ""0.854 mg"", ""Vitamin B-6"": ""0.088 mg"", ""Folate, DFE"": ""27.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""1.0 µg"", ""Vitamin A, IU"": ""13.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.19 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""1.9 µg"", ""Fatty acids, total saturated"": ""0.074 g"", ""Fatty acids, total monounsaturated"": ""0.075 g"", ""Fatty acids, total polyunsaturated"": ""0.048 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",59.68 g,160.0 kcal,1.36 g,0.28 g,38.06 g,1.8 g,1.7 g,16.0 mg,0.27 mg,21.0 mg,271.0 mg,14.0 mg,0.34 mg,20.6 mg,0.088 mg,0.0 µg,1.0 µg,0.19 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
33,cilantro,Rau thơm,"{""Water"": ""92.21 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.13 g"", ""Total lipid (fat)"": ""0.52 g"", ""Carbohydrate, by difference"": ""3.67 g"", ""Fiber, total dietary"": ""2.8 g"", ""Sugars, total"": ""0.87 g"", ""Calcium, Ca"": ""67.0 mg"", ""Iron, Fe"": ""1.77 mg"", ""Magnesium, Mg"": ""26.0 mg"", ""Phosphorus, P"": ""48.0 mg"", ""Potassium, K"": ""521.0 mg"", ""Sodium, Na"": ""46.0 mg"", ""Zinc, Zn"": ""0.5 mg"", ""Vitamin C, total ascorbic acid"": ""27.0 mg"", ""Thiamin"": ""0.067 mg"", ""Riboflavin"": ""0.162 mg"", ""Niacin"": ""1.114 mg"", ""Vitamin B-6"": ""0.149 mg"", ""Folate, DFE"": ""62.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""337.0 µg"", ""Vitamin A, IU"": ""6748.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""2.5 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""310.0 µg"", ""Fatty acids, total saturated"": ""0.014 g"", ""Fatty acids, total monounsaturated"": ""0.275 g"", ""Fatty acids, total polyunsaturated"": ""0.04 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.21 g,23.0 kcal,2.13 g,0.52 g,3.67 g,2.8 g,0.87 g,67.0 mg,1.77 mg,26.0 mg,521.0 mg,46.0 mg,0.5 mg,27.0 mg,0.149 mg,0.0 µg,337.0 µg,2.5 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
34,wintermelon,Bí đao,"{""Water"": ""92.21 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.13 g"", ""Total lipid (fat)"": ""0.52 g"", ""Carbohydrate, by difference"": ""3.67 g"", ""Fiber, total dietary"": ""2.8 g"", ""Sugars, total"": ""0.87 g"", ""Calcium, Ca"": ""67.0 mg"", ""Iron, Fe"": ""1.77 mg"", ""Magnesium, Mg"": ""26.0 mg"", ""Phosphorus, P"": ""48.0 mg"", ""Potassium, K"": ""521.0 mg"", ""Sodium, Na"": ""46.0 mg"", ""Zinc, Zn"": ""0.5 mg"", ""Vitamin C, total ascorbic acid"": ""27.0 mg"", ""Thiamin"": ""0.067 mg"", ""Riboflavin"": ""0.162 mg"", ""Niacin"": ""1.114 mg"", ""Vitamin B-6"": ""0.149 mg"", ""Folate, DFE"": ""62.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""337.0 µg"", ""Vitamin A, IU"": ""6748.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""2.5 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""310.0 µg"", ""Fatty acids, total saturated"": ""0.014 g"", ""Fatty acids, total monounsaturated"": ""0.275 g"", ""Fatty acids, total polyunsaturated"": ""0.04 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.21 g,23.0 kcal,2.13 g,0.52 g,3.67 g,2.8 g,0.87 g,67.0 mg,1.77 mg,26.0 mg,521.0 mg,46.0 mg,0.5 mg,27.0 mg,0.149 mg,0.0 µg,337.0 µg,2.5 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
35,ginger,Gừng,"{""Water"": ""78.89 g"", ""Energy"": ""80.0 kcal"", ""Protein"": ""1.82 g"", ""Total lipid (fat)"": ""0.75 g"", ""Carbohydrate, by difference"": ""17.77 g"", ""Fiber, total dietary"": ""2.0 g"", ""Sugars, total"": ""1.7 g"", ""Calcium, Ca"": ""16.0 mg"", ""Iron, Fe"": ""0.6 mg"", ""Magnesium, Mg"": ""43.0 mg"", ""Phosphorus, P"": ""34.0 mg"", ""Potassium, K"": ""415.0 mg"", ""Sodium, Na"": ""13.0 mg"", ""Zinc, Zn"": ""0.34 mg"", ""Vitamin C, total ascorbic acid"": ""5.0 mg"", ""Thiamin"": ""0.025 mg"", ""Riboflavin"": ""0.034 mg"", ""Niacin"": ""0.75 mg"", ""Vitamin B-6"": ""0.16 mg"", ""Folate, DFE"": ""11.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.26 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.1 µg"", ""Fatty acids, total saturated"": ""0.203 g"", ""Fatty acids, total monounsaturated"": ""0.154 g"", ""Fatty acids, total polyunsaturated"": ""0.154 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",78.89 g,80.0 kcal,1.82 g,0.75 g,17.77 g,2.0 g,1.7 g,16.0 mg,0.6 mg,43.0 mg,415.0 mg,13.0 mg,0.34 mg,5.0 mg,0.16 mg,0.0 µg,0.0 µg,0.26 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
36,lotus root,Củ sen,"{""Water"": ""79.1 g"", ""Energy"": ""74.0 kcal"", ""Protein"": ""2.6 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""17.23 g"", ""Fiber, total dietary"": ""4.9 g"", ""Calcium, Ca"": ""45.0 mg"", ""Iron, Fe"": ""1.16 mg"", ""Magnesium, Mg"": ""23.0 mg"", ""Phosphorus, P"": ""100.0 mg"", ""Potassium, K"": ""556.0 mg"", ""Sodium, Na"": ""40.0 mg"", ""Zinc, Zn"": ""0.39 mg"", ""Vitamin C, total ascorbic acid"": ""44.0 mg"", ""Thiamin"": ""0.16 mg"", ""Riboflavin"": ""0.22 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.258 mg"", ""Folate, DFE"": ""13.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.03 g"", ""Fatty acids, total monounsaturated"": ""0.02 g"", ""Fatty acids, total polyunsaturated"": ""0.02 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.1 g,74.0 kcal,2.6 g,0.1 g,17.23 g,4.9 g,0,45.0 mg,1.16 mg,23.0 mg,556.0 mg,40.0 mg,0.39 mg,44.0 mg,0.258 mg,0.0 µg,0.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0.0 mg
37,turmetic,Nghệ,"{""Water"": ""79.1 g"", ""Energy"": ""74.0 kcal"", ""Protein"": ""2.6 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""17.23 g"", ""Fiber, total dietary"": ""4.9 g"", ""Calcium, Ca"": ""45.0 mg"", ""Iron, Fe"": ""1.16 mg"", ""Magnesium, Mg"": ""23.0 mg"", ""Phosphorus, P"": ""100.0 mg"", ""Potassium, K"": ""556.0 mg"", ""Sodium, Na"": ""40.0 mg"", ""Zinc, Zn"": ""0.39 mg"", ""Vitamin C, total ascorbic acid"": ""44.0 mg"", ""Thiamin"": ""0.16 mg"", ""Riboflavin"": ""0.22 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.258 mg"", ""Folate, DFE"": ""13.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total saturated"": ""0.03 g"", ""Fatty acids, total monounsaturated"": ""0.02 g"", ""Fatty acids, total polyunsaturated"": ""0.02 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",79.1 g,74.0 kcal,2.6 g,0.1 g,17.23 g,4.9 g,0,45.0 mg,1.16 mg,23.0 mg,556.0 mg,40.0 mg,0.39 mg,44.0 mg,0.258 mg,0.0 µg,0.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0.0 mg
38,kohlrabi,Su hào,"{""Water"": ""91.0 g"", ""Energy"": ""27.0 kcal"", ""Protein"": ""1.7 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""6.2 g"", ""Fiber, total dietary"": ""3.6 g"", ""Sugars, total"": ""2.6 g"", ""Calcium, Ca"": ""24.0 mg"", ""Iron, Fe"": ""0.4 mg"", ""Magnesium, Mg"": ""19.0 mg"", ""Phosphorus, P"": ""46.0 mg"", ""Potassium, K"": ""350.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.03 mg"", ""Vitamin C, total ascorbic acid"": ""62.0 mg"", ""Thiamin"": ""0.05 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.15 mg"", ""Folate, DFE"": ""16.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""2.0 µg"", ""Vitamin A, IU"": ""36.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.48 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.1 µg"", ""Fatty acids, total saturated"": ""0.013 g"", ""Fatty acids, total monounsaturated"": ""0.007 g"", ""Fatty acids, total polyunsaturated"": ""0.048 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",91.0 g,27.0 kcal,1.7 g,0.1 g,6.2 g,3.6 g,2.6 g,24.0 mg,0.4 mg,19.0 mg,350.0 mg,20.0 mg,0.03 mg,62.0 mg,0.15 mg,0.0 µg,2.0 µg,0.48 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
39,knotgrass,Rau răm,"{""Water"": ""91.0 g"", ""Energy"": ""27.0 kcal"", ""Protein"": ""1.7 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""6.2 g"", ""Fiber, total dietary"": ""3.6 g"", ""Sugars, total"": ""2.6 g"", ""Calcium, Ca"": ""24.0 mg"", ""Iron, Fe"": ""0.4 mg"", ""Magnesium, Mg"": ""19.0 mg"", ""Phosphorus, P"": ""46.0 mg"", ""Potassium, K"": ""350.0 mg"", ""Sodium, Na"": ""20.0 mg"", ""Zinc, Zn"": ""0.03 mg"", ""Vitamin C, total ascorbic acid"": ""62.0 mg"", ""Thiamin"": ""0.05 mg"", ""Riboflavin"": ""0.02 mg"", ""Niacin"": ""0.4 mg"", ""Vitamin B-6"": ""0.15 mg"", ""Folate, DFE"": ""16.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""2.0 µg"", ""Vitamin A, IU"": ""36.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.48 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.1 µg"", ""Fatty acids, total saturated"": ""0.013 g"", ""Fatty acids, total monounsaturated"": ""0.007 g"", ""Fatty acids, total polyunsaturated"": ""0.048 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",91.0 g,27.0 kcal,1.7 g,0.1 g,6.2 g,3.6 g,2.6 g,24.0 mg,0.4 mg,19.0 mg,350.0 mg,20.0 mg,0.03 mg,62.0 mg,0.15 mg,0.0 µg,2.0 µg,0.48 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
40,mint leaves,Rau thơm (húng lũi),"{""Energy"": ""278.0 kcal"", ""Protein"": ""0.0 g"", ""Total lipid (fat)"": ""0.0 g"", ""Carbohydrate, by difference"": ""72.22 g"", ""Sugars, total"": ""38.89 g"", ""Sodium, Na"": ""56.0 mg""}",0,278.0 kcal,0.0 g,0.0 g,72.22 g,0,38.89 g,0,0,0,0,56.0 mg,0,0,0,0,0,0,0,0,0,0
41,coriander,Rau mùi,"{""Water"": ""92.21 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.13 g"", ""Total lipid (fat)"": ""0.52 g"", ""Carbohydrate, by difference"": ""3.67 g"", ""Fiber, total dietary"": ""2.8 g"", ""Sugars, total"": ""0.87 g"", ""Calcium, Ca"": ""67.0 mg"", ""Iron, Fe"": ""1.77 mg"", ""Magnesium, Mg"": ""26.0 mg"", ""Phosphorus, P"": ""48.0 mg"", ""Potassium, K"": ""521.0 mg"", ""Sodium, Na"": ""46.0 mg"", ""Zinc, Zn"": ""0.5 mg"", ""Vitamin C, total ascorbic acid"": ""27.0 mg"", ""Thiamin"": ""0.067 mg"", ""Riboflavin"": ""0.162 mg"", ""Niacin"": ""1.114 mg"", ""Vitamin B-6"": ""0.149 mg"", ""Folate, DFE"": ""62.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""337.0 µg"", ""Vitamin A, IU"": ""6748.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""2.5 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""310.0 µg"", ""Fatty acids, total saturated"": ""0.014 g"", ""Fatty acids, total monounsaturated"": ""0.275 g"", ""Fatty acids, total polyunsaturated"": ""0.04 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.21 g,23.0 kcal,2.13 g,0.52 g,3.67 g,2.8 g,0.87 g,67.0 mg,1.77 mg,26.0 mg,521.0 mg,46.0 mg,0.5 mg,27.0 mg,0.149 mg,0.0 µg,337.0 µg,2.5 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
42,water spinach,Rau muống,"{""Water"": ""92.47 g"", ""Energy"": ""19.0 kcal"", ""Protein"": ""2.6 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""3.13 g"", ""Fiber, total dietary"": ""2.1 g"", ""Calcium, Ca"": ""77.0 mg"", ""Iron, Fe"": ""1.67 mg"", ""Magnesium, Mg"": ""71.0 mg"", ""Phosphorus, P"": ""39.0 mg"", ""Potassium, K"": ""312.0 mg"", ""Sodium, Na"": ""113.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""55.0 mg"", ""Thiamin"": ""0.03 mg"", ""Riboflavin"": ""0.1 mg"", ""Niacin"": ""0.9 mg"", ""Vitamin B-6"": ""0.096 mg"", ""Folate, DFE"": ""57.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""315.0 µg"", ""Vitamin A, IU"": ""6300.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",92.47 g,19.0 kcal,2.6 g,0.2 g,3.13 g,2.1 g,0,77.0 mg,1.67 mg,71.0 mg,312.0 mg,113.0 mg,0.18 mg,55.0 mg,0.096 mg,0.0 µg,315.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
43,polygonum,Rau răm,"{""Water"": ""92.47 g"", ""Energy"": ""19.0 kcal"", ""Protein"": ""2.6 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""3.13 g"", ""Fiber, total dietary"": ""2.1 g"", ""Calcium, Ca"": ""77.0 mg"", ""Iron, Fe"": ""1.67 mg"", ""Magnesium, Mg"": ""71.0 mg"", ""Phosphorus, P"": ""39.0 mg"", ""Potassium, K"": ""312.0 mg"", ""Sodium, Na"": ""113.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""55.0 mg"", ""Thiamin"": ""0.03 mg"", ""Riboflavin"": ""0.1 mg"", ""Niacin"": ""0.9 mg"", ""Vitamin B-6"": ""0.096 mg"", ""Folate, DFE"": ""57.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""315.0 µg"", ""Vitamin A, IU"": ""6300.0 IU"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg""}",92.47 g,19.0 kcal,2.6 g,0.2 g,3.13 g,2.1 g,0,77.0 mg,1.67 mg,71.0 mg,312.0 mg,113.0 mg,0.18 mg,55.0 mg,0.096 mg,0.0 µg,315.0 µg,0,0.0 µg,0.0 IU,0.0 mg,0
